"","V1","V2"
"1",686.580064416611,-2094.22839545107
"2",790.030693462138,-1823.71238934733
"3",772.099625679093,-3093.8648555814
"4",704.481162352754,-2326.77664541201
"5",891.245713922423,-2108.43857688791
"6",772.361213448794,-1604.93997905818
"7",754.989954419333,-486.040854260533
"8",804.413230236292,-125.408100606212
"9",844.361200567136,-896.303396108682
"10",625.357649019859,-737.265588808506
"11",724.352222465348,-2871.18858626022
"12",849.571921073431,-1334.17422550004
"13",846.083471539469,-1702.3117019869
"14",783.700039539201,-2274.81266788698
"15",772.174497442126,-248.131759568937
