"","Metric","Intercept","Education","Age"
"1","DP MSE",0.218164657018139,0.0000379176457421607,0.000455556276710885
"2","DP Variance",0.0067351549763312,0.000000957404456703923,0.0000758378462305154
"3","DP Bias^2",0.211429502041808,0.0000369602412854568,0.00037971843048037
"4","Sampling MSE",0.217425460313562,0.0000242043810930651,0.00103167537423306
