"","puma","avg_lap","avg_exp"
"1",100,201.417615152142,4757.70806845572
"2",200,96.4306411552641,4662.12443836162
"3",300,199.57359714867,3423.12961831166
"4",400,269.363412995719,6171.54482167559
"5",500,166.584525451632,5452.78384495195
"6",600,242.787668631394,2604.33062627122
"7",700,171.351009706163,7264.00731135595
"8",800,218.935723250371,7809.37825791595
"9",900,222.076397181625,6287.30939327402
"10",1000,247.812851645581,6803.28119789406
"11",1100,184.561910013496,7906.43139955392
"12",1200,219.240064550696,3108.63092911658
"13",1300,204.286593082105,5709.943774747
"14",1400,244.22946185337,12289.5162620789
"15",1500,228.5952733414,5592.11333084071
"16",1600,266.944287331885,5122.32668996403
"17",1700,225.091862292236,2628.41866460902
"18",1800,272.992812520803,3570.78341786576
"19",1900,207.262803913288,2388.28191124102
"20",2000,293.692943439777,5635.85243283898
"21",2100,239.798142562532,3303.8575818149
"22",2200,231.887971224888,5590.21119252281
"23",2300,167.560980884717,3452.32239582059
"24",2400,264.973846110636,8144.96211767616
"25",2500,262.766892107549,7603.38755389608
"26",2600,276.9291623802,16863.4345932679
"27",2700,141.889645135875,8618.01087354097
"28",2800,285.777807016084,8151.28623435927
"29",2900,272.77687084135,3210.06999833141
"30",3000,265.510846363178,3207.90307550885
"31",3100,240.76374096702,3608.76963973273
"32",3200,265.059258053787,8010.97748894645
"33",3301,256.261739353729,3971.55179334674
"34",3302,219.551107377084,10291.3621798516
"35",3303,262.61157534519,2440.31491961638
"36",3304,230.897833088539,2900.29680650589
"37",3305,223.376134421098,4105.40108790874
"38",3400,196.994278630533,12029.4686980178
"39",3500,244.370493320961,9701.94319359381
"40",3600,299.018991335821,5552.11347305091
"41",3700,256.165773533498,5295.37575185961
"42",3800,240.03737457554,6316.29070954465
"43",3900,210.596902971382,8397.56230107995
"44",4000,251.430580709522,2468.83047772515
"45",4100,178.665422965318,4245.71500966122
"46",4200,317.011221895911,3420.2275979493
"47",4300,262.047223114421,4073.00033268612
"48",4400,196.19946416447,2733.22275198847
"49",4500,132.79130938682,4252.37385489339
"50",4600,175.222693574899,6308.18639816708
"51",4700,192.017038722141,6160.37114408079
"52",4800,171.881707371309,6063.54415510411
