"","num_attributes","defense","tpr"
"207",3400,"subsample",0.29
"208",3450,"round",0.55
"209",3450,"noise",0.43
"210",3450,"subsample",0.29
"211",3500,"round",0.53
"212",3500,"noise",0.34
"213",3500,"subsample",0.29
"214",3550,"round",0.6
"215",3550,"noise",0.19
"216",3550,"subsample",0.29
"217",3600,"round",0.61
"218",3600,"noise",0.32
"219",3600,"subsample",0.29
"220",3650,"round",0.54
"221",3650,"noise",0.26
"222",3650,"subsample",0.29
"223",3700,"round",0.6
"224",3700,"noise",0.32
"225",3700,"subsample",0.29
"226",3750,"round",0.61
"227",3750,"noise",0.11
"228",3750,"subsample",0.29
"229",3800,"round",0.65
"230",3800,"noise",0.25
"231",3800,"subsample",0.29
"232",3850,"round",0.61
"233",3850,"noise",0.32
"234",3850,"subsample",0.29
"235",3900,"round",0.61
"236",3900,"noise",0.32
"237",3900,"subsample",0.29
"238",3950,"round",0.61
"239",3950,"noise",0.32
"240",3950,"subsample",0.29
"241",4000,"round",0.61
"242",4000,"noise",0.31
"243",4000,"subsample",0.29
"244",4050,"round",0.61
"245",4050,"noise",0.32
"246",4050,"subsample",0.29
"247",4100,"round",0.61
"248",4100,"noise",0.31
"249",4100,"subsample",0.29
"250",4150,"round",0.61
"251",4150,"noise",0.32
"252",4150,"subsample",0.29
"253",4200,"round",0.64
"254",4200,"noise",0.31
"255",4200,"subsample",0.29
"256",4250,"round",0.61
"257",4250,"noise",0.31
"258",4250,"subsample",0.29
"259",4300,"round",0.61
"260",4300,"noise",0.4
"261",4300,"subsample",0.29
"262",4350,"round",0.64
"263",4350,"noise",0.34
"264",4350,"subsample",0.29
"265",4400,"round",0.61
"266",4400,"noise",0.25
"267",4400,"subsample",0.29
"268",4450,"round",0.61
"269",4450,"noise",0.34
"270",4450,"subsample",0.29
"271",4500,"round",0.64
"272",4500,"noise",0.25
"273",4500,"subsample",0.29
"274",4550,"round",0.63
"275",4550,"noise",0.25
"276",4550,"subsample",0.29
"277",4600,"round",0.63
"278",4600,"noise",0.31
"279",4600,"subsample",0.29
"280",4650,"round",0.63
"281",4650,"noise",0.31
"282",4650,"subsample",0.29
"283",4700,"round",0.63
"284",4700,"noise",0.31
"285",4700,"subsample",0.29
"286",4750,"round",0.61
"287",4750,"noise",0.31
"288",4750,"subsample",0.29
"289",4800,"round",0.63
"290",4800,"noise",0.36
"291",4800,"subsample",0.29
"292",4850,"round",0.64
"293",4850,"noise",0.25
"294",4850,"subsample",0.29
"295",4900,"round",0.64
"296",4900,"noise",0.36
"297",4900,"subsample",0.29
"298",4950,"round",0.64
"299",4950,"noise",0.31
"300",4950,"subsample",0.29
"301",5000,"round",0.64
"302",5000,"noise",0.31
"303",5000,"subsample",0.29
"304",5050,"round",0.63
"305",5050,"noise",0.25
"306",5050,"subsample",0.29
"307",5100,"round",0.64
"308",5100,"noise",0.31
"309",5100,"subsample",0.29
"310",5150,"round",0.64
"311",5150,"noise",0.36
"312",5150,"subsample",0.29
"313",5200,"round",0.7
"314",5200,"noise",0.31
